nombre_uno;valor ;valor_comun;;;;;;;;;;
Sebastian;386;1;;;;;;;;;;
Sofia;617;1;;;;;;;;;;
Victor;192;1;;;;;;;;;;
Valeria;598;1;;;;;;;;;;
Cristian;547;1;;;;;;;;;;
Maria;471;1;;;;;;;;;;
Rosa;524;1;;;;;;;;;;
Jose;417;1;;;;;;;;;;
Maria Luisa;105;1;;;;;;;;;;
Carmen;580;1;;;;;;;;;;
Ana;623;1;;;;;;;;;;
Maria Elena;568;1;;;;;;;;;;
Juana;614;1;;;;;;;;;;
Maria Esther;578;1;;;;;;;;;;
Antonio;159;1;;;;;;;;;;
Elena;382;1;;;;;;;;;;
Teresa;131;1;;;;;;;;;;
Angela;640;1;;;;;;;;;;
Margarita;313;1;;;;;;;;;;
Catalina;642;1;;;;;;;;;;
Francisco;346;1;;;;;;;;;;
Juan;406;1;;;;;;;;;;
Francisca;511;1;;;;;;;;;;
Elvira;563;1;;;;;;;;;;
Josefa;406;1;;;;;;;;;;
Maria Angelica;681;1;;;;;;;;;;
Nelida;579;1;;;;;;;;;;
Luisa;361;1;;;;;;;;;;
Antonia;133;1;;;;;;;;;;
Maria Teresa;475;1;;;;;;;;;;
Juan Carlos;654;1;;;;;;;;;;
Isabel;348;1;;;;;;;;;;
Pedro;401;1;;;;;;;;;;
Lucia;693;1;;;;;;;;;;
Sara;315;1;;;;;;;;;;
Victoria;662;1;;;;;;;;;;
Amalia;440;1;;;;;;;;;;
Luis;270;1;;;;;;;;;;
Manuel;281;1;;;;;;;;;;
Mercedes;494;1;;;;;;;;;;
Julia;550;1;;;;;;;;;;
Aurora;203;1;;;;;;;;;;
Elsa;465;1;;;;;;;;;;
Carlos;288;1;;;;;;;;;;
Miguel;145;1;;;;;;;;;;
Emilia;121;1;;;;;;;;;;
Ana Maria;692;1;;;;;;;;;;
Concepcion;691;1;;;;;;;;;;
Vicente;506;1;;;;;;;;;;
Alberto;589;1;;;;;;;;;;
Matilde;547;1;;;;;;;;;;
Amelia;535;1;;;;;;;;;;
Josefina;581;1;;;;;;;;;;
Maria Del Carmen;542;1;;;;;;;;;;
Enrique;107;1;;;;;;;;;;
Domingo;619;1;;;;;;;;;;
Dolores;173;1;;;;;;;;;;
Irma;636;1;;;;;;;;;;
Dora;177;1;;;;;;;;;;
Adela;453;1;;;;;;;;;;
Elisa;255;1;;;;;;;;;;
Maria Antonia;344;1;;;;;;;;;;
Dominga;306;1;;;;;;;;;;
Ramona;669;1;;;;;;;;;;
Delia;217;1;;;;;;;;;;
Magdalena;166;1;;;;;;;;;;
Aida;274;1;;;;;;;;;;
Nicolas;188;1;;;;;;;;;;
Haydee;683;1;;;;;;;;;;
Roberto;155;1;;;;;;;;;;
Maria Rosa;578;1;;;;;;;;;;
Angel;192;1;;;;;;;;;;
Alfredo;600;1;;;;;;;;;;
JosÃ© Maria;218;1;;;;;;;;;;
Manuela;675;1;;;;;;;;;;
Zulema;299;1;;;;;;;;;;
Lidia;204;1;;;;;;;;;;
Clara;327;1;;;;;;;;;;
Maria Isabel;145;1;;;;;;;;;;
Rosario;147;1;;;;;;;;;;
Raquel;335;1;;;;;;;;;;
Ricardo;402;1;;;;;;;;;;
Ernesto;484;1;;;;;;;;;;
Alicia;624;1;;;;;;;;;;
Petrona;136;1;;;;;;;;;;
Emma;474;1;;;;;;;;;;
Gregoria;680;1;;;;;;;;;;
Irene;334;1;;;;;;;;;;
Celia;395;1;;;;;;;;;;
Eduardo;507;1;;;;;;;;;;
Paulina;184;1;;;;;;;;;;
Pilar;143;1;;;;;;;;;;
Carmela;190;1;;;;;;;;;;
Carlos Alberto;396;1;;;;;;;;;;
Felisa;284;1;;;;;;;;;;
Filomena;556;1;;;;;;;;;;
Armando;626;1;;;;;;;;;;
Jose Antonio;136;1;;;;;;;;;;
Maria Magdalena;253;1;;;;;;;;;;
Miguel Angel;391;1;;;;;;;;;;
Leonor;296;1;;;;;;;;;;
Felipe;679;1;;;;;;;;;;
Maria Mercedes;248;1;;;;;;;;;;
Esther;514;1;;;;;;;;;;
Adelina;570;1;;;;;;;;;;
Rosalia;139;1;;;;;;;;;;
Gregorio;272;1;;;;;;;;;;
Juan Antonio;622;1;;;;;;;;;;
Salvador;134;1;;;;;;;;;;
Juan Bautista;453;1;;;;;;;;;;
Maria Josefa;231;1;;;;;;;;;;
Maria Ines;490;1;;;;;;;;;;
Juan JosÃ©;573;1;;;;;;;;;;
Beatriz;234;1;;;;;;;;;;
Eugenia;580;1;;;;;;;;;;
Guillermo;431;1;;;;;;;;;;
Juliana;692;1;;;;;;;;;;
Emilio;572;1;;;;;;;;;;
Rafael;659;1;;;;;;;;;;
Sofia;199;1;;;;;;;;;;
Herminia;554;1;;;;;;;;;;
Mario;667;1;;;;;;;;;;
Raul;365;1;;;;;;;;;;
Oscar;499;1;;;;;;;;;;
Adolfo;617;1;;;;;;;;;;
Maria Angela;642;1;;;;;;;;;;
Vicenta;209;1;;;;;;;;;;
Carolina;551;1;;;;;;;;;;
Hector;180;1;;;;;;;;;;
Pablo;167;1;;;;;;;;;;
Susana;492;1;;;;;;;;;;
Berta;651;1;;;;;;;;;;
Paula;576;1;;;;;;;;;;
Blanca Rosa;274;1;;;;;;;;;;
Martina;558;1;;;;;;;;;;
Yolanda;117;1;;;;;;;;;;
AngÃ©lica;112;1;;;;;;;;;;
Clementina;117;1;;;;;;;;;;
Ramon;605;1;;;;;;;;;;
Arturo;152;1;;;;;;;;;;
Ofelia;550;1;;;;;;;;;;
Alejandro;589;1;;;;;;;;;;
Agustina;517;1;;;;;;;;;;
Santiago;565;1;;;;;;;;;;
Maria Elisa;610;1;;;;;;;;;;
Laura;106;1;;;;;;;;;;
Tomas;692;1;;;;;;;;;;
JesÃºs;215;1;;;;;;;;;;
Andres;407;1;;;;;;;;;;
Virginia;569;1;;;;;;;;;;
Genoveva;612;1;;;;;;;;;;
Bernardo;145;1;;;;;;;;;;
Rodolfo;318;1;;;;;;;;;;
Rita;108;1;;;;;;;;;;
Delfina;653;1;;;;;;;;;;
Juana Rosa;130;1;;;;;;;;;;
Julio;558;1;;;;;;;;;;
Elba;637;1;;;;;;;;;;
NÃ©lida Esther;297;1;;;;;;;;;;
Cecilia;509;1;;;;;;;;;;
Maria Dolores;286;1;;;;;;;;;;
Rosa Maria;482;1;;;;;;;;;;
Florentina;561;1;;;;;;;;;;
Jose Manuel;456;1;;;;;;;;;;
Maria Elvira;348;1;;;;;;;;;;
Blanca;218;1;;;;;;;;;;
Roque;385;1;;;;;;;;;;
Natividad;315;1;;;;;;;;;;
Flora;301;1;;;;;;;;;;
Aurelio;457;1;;;;;;;;;;
Fernando;504;1;;;;;;;;;;
Isolina;520;1;;;;;;;;;;
Marcelina;308;1;;;;;;;;;;
InÃ©s;483;1;;;;;;;;;;
Ermelinda;466;1;;;;;;;;;;
Esteban;437;1;;;;;;;;;;
Felipa;438;1;;;;;;;;;;
AsunciÃ³n;137;1;;;;;;;;;;
Marta;594;1;;;;;;;;;;
Jose Luis;461;1;;;;;;;;;;
Regina;323;1;;;;;;;;;;
Ida;286;1;;;;;;;;;;
Tomasa;538;1;;;;;;;;;;
Victor;505;1;;;;;;;;;;
Sara Esther;186;1;;;;;;;;;;
Enriqueta;390;1;;;;;;;;;;
Pascual;636;1;;;;;;;;;;
Maria Francisca;504;1;;;;;;;;;;
Albina;370;1;;;;;;;;;;
Petronila;592;1;;;;;;;;;;
EncarnaciÃ³n;601;1;;;;;;;;;;
Maria de las Mercedes;526;1;;;;;;;;;;
Pascuala;452;1;;;;;;;;;;
Aurelia;204;1;;;;;;;;;;
Anita;126;1;;;;;;;;;;
Alcira;393;1;;;;;;;;;;
Adelaida;376;1;;;;;;;;;;
Gerardo;259;1;;;;;;;;;;
Florencia;467;1;;;;;;;;;;
Maria Carmen;371;1;;;;;;;;;;
Nelida Maria;167;1;;;;;;;;;;
Cristina;575;1;;;;;;;;;;
Saturnina;469;1;;;;;;;;;;
Olga;413;1;;;;;;;;;;
Francisco Antonio;209;1;;;;;;;;;;
Nieves;261;1;;;;;;;;;;
Florinda;287;1;;;;;;;;;;
Elida;668;1;;;;;;;;;;
Dina;630;1;;;;;;;;;;
Nicolasa;632;1;;;;;;;;;;
Maria Elsa;221;1;;;;;;;;;;
Esperanza;650;1;;;;;;;;;;
Eloisa;282;1;;;;;;;;;;
Maria Celia;169;1;;;;;;;;;;
Santos;125;1;;;;;;;;;;
Natalia;626;1;;;;;;;;;;
Maria Delia;169;1;;;;;;;;;;
Maria Concepcion;475;1;;;;;;;;;;
Palmira;337;1;;;;;;;;;;
Maria Ester;146;1;;;;;;;;;;
Maria Margarita;343;1;;;;;;;;;;
Amanda;108;1;;;;;;;;;;
Felix;338;1;;;;;;;;;;
Marcos;392;1;;;;;;;;;;
Angela Maria;204;1;;;;;;;;;;
Ernestina;330;1;;;;;;;;;;
Ana Rosa;280;1;;;;;;;;;;
Wenceslao;287;1;;;;;;;;;;
Natalio;257;1;;;;;;;;;;
MarÃ­a Juana;423;1;;;;;;;;;;
Maria Josefina;241;1;;;;;;;;;;
Maria Dora;268;1;;;;;;;;;;
Joaquin;227;1;;;;;;;;;;
Martin;305;1;;;;;;;;;;
Maria Ana;246;1;;;;;;;;;;
Maria Lidia;300;1;;;;;;;;;;
Manuel Antonio;343;1;;;;;;;;;;
Moises;153;1;;;;;;;;;;
Estela;131;1;;;;;;;;;;
Lidia Esther;649;1;;;;;;;;;;
Vito;637;1;;;;;;;;;;
Valentina;418;1;;;;;;;;;;
Rufina;293;1;;;;;;;;;;
Benito;510;1;;;;;;;;;;
Hortensia;121;1;;;;;;;;;;
Atilio;160;1;;;;;;;;;;
Jose Ramon;379;1;;;;;;;;;;
Elda;191;1;;;;;;;;;;
Victorio;299;1;;;;;;;;;;
Cornelia;673;1;;;;;;;;;;
Evaristo;195;1;;;;;;;;;;
Benedicto;385;1;;;;;;;;;;
Maria Adela;245;1;;;;;;;;;;
Maria Amalia;160;1;;;;;;;;;;
Julio Cesar;415;1;;;;;;;;;;
Juan Manuel;206;1;;;;;;;;;;
Elias;397;1;;;;;;;;;;
Maria Irma;501;1;;;;;;;;;;
Ilda;278;1;;;;;;;;;;
Leonilda;280;1;;;;;;;;;;
Rosa Ramona;112;1;;;;;;;;;;
Amelia Rosa;190;1;;;;;;;;;;
Celestina;561;1;;;;;;;;;;
Juana Maria;246;1;;;;;;;;;;
Rosa AngÃ©lica;442;1;;;;;;;;;;
Ceferina;556;1;;;;;;;;;;
Maria Catalina;560;1;;;;;;;;;;
Celina;432;1;;;;;;;;;;
Aldo;619;1;;;;;;;;;;
Donato;335;1;;;;;;;;;;
Hortencia;280;1;;;;;;;;;;
Lorenzo;365;1;;;;;;;;;;
Lorenza;613;1;;;;;;;;;;
David;307;1;;;;;;;;;;
Maria Victoria;566;1;;;;;;;;;;
Faustina;565;1;;;;;;;;;;
Lilia;102;1;;;;;;;;;;
Ignacio;543;1;;;;;;;;;;
Luciano;452;1;;;;;;;;;;
Maria Cristina;509;1;;;;;;;;;;
Benjamin;616;1;;;;;;;;;;
Celestino;643;1;;;;;;;;;;
Jesus Maria;350;1;;;;;;;;;;
Dora Isabel;475;1;;;;;;;;;;
Carlota;337;1;;;;;;;;;;
Blanca Nelida;298;1;;;;;;;;;;
Geronima;581;1;;;;;;;;;;
Valentin;636;1;;;;;;;;;;
Julian;575;1;;;;;;;;;;
Jaime;224;1;;;;;;;;;;
Maria Tomasa;231;1;;;;;;;;;;
Jorge;525;1;;;;;;;;;;
Maria Haydee;546;1;;;;;;;;;;
Eugenio;695;1;;;;;;;;;;
Angelina;227;1;;;;;;;;;;
Edelmira;135;1;;;;;;;;;;
Americo;365;1;;;;;;;;;;
Clorinda;430;1;;;;;;;;;;
Leonardo;561;1;;;;;;;;;;
Argentina;688;1;;;;;;;;;;
Teodora;413;1;;;;;;;;;;
Mariana;130;1;;;;;;;;;;
Florentino;689;1;;;;;;;;;;
Maria Nieves;397;1;;;;;;;;;;
Humberto;154;1;;;;;;;;;;
Cayetana;503;1;;;;;;;;;;
Bonifacia;178;1;;;;;;;;;;
Gracia;435;1;;;;;;;;;;
Marina;294;1;;;;;;;;;;
Clotilde;301;1;;;;;;;;;;
Sebastiana;359;1;;;;;;;;;;
Anastasia;682;1;;;;;;;;;;
Carlos Maria;285;1;;;;;;;;;;
Daniel;292;1;;;;;;;;;;
Soledad;549;1;;;;;;;;;;
Carlos Julio;166;1;;;;;;;;;;
Maria Eugenia;542;1;;;;;;;;;;
Antonino;241;1;;;;;;;;;;
Maria del Pilar;310;1;;;;;;;;;;
Rebeca;135;1;;;;;;;;;;
Maria Manuela;419;1;;;;;;;;;;
Carmelo;433;1;;;;;;;;;;
Maria Julia;603;1;;;;;;;;;;
Desiderio;361;1;;;;;;;;;;
Rina;388;1;;;;;;;;;;
Bruno;532;1;;;;;;;;;;
Elsa Dora;491;1;;;;;;;;;;
Blanca Nieve;471;1;;;;;;;;;;
Alba;504;1;;;;;;;;;;
Marcelino;541;1;;;;;;;;;;
Jacinta;544;1;;;;;;;;;;
Maria Alicia;188;1;;;;;;;;;;
Delicia;595;1;;;;;;;;;;
Elsa Nelida;464;1;;;;;;;;;;
Blanca Nieves;373;1;;;;;;;;;;
Rosa Elena;568;1;;;;;;;;;;
Elena Rosa;640;1;;;;;;;;;;
Maria Elba;375;1;;;;;;;;;;
Juan Francisco;168;1;;;;;;;;;;
Maria de Jesus;301;1;;;;;;;;;;
Etelvina;217;1;;;;;;;;;;
Consuelo;565;1;;;;;;;;;;
Federico;519;1;;;;;;;;;;
Hilario;202;1;;;;;;;;;;
Ramona Rosa;387;1;;;;;;;;;;
Pascualina;680;1;;;;;;;;;;
Silveria;287;1;;;;;;;;;;
Alberto Oscar;383;1;;;;;;;;;;
Elena Maria;380;1;;;;;;;;;;
Micaela;618;1;;;;;;;;;;
Agustin;515;1;;;;;;;;;;
Ada;492;1;;;;;;;;;;
Lino;192;1;;;;;;;;;;
Blanca Esther;332;1;;;;;;;;;;
Joaquina;184;1;;;;;;;;;;
Pastora;694;1;;;;;;;;;;
Victoriana;652;1;;;;;;;;;;
Justina;178;1;;;;;;;;;;
Vera;562;1;;;;;;;;;;
Fermina;683;1;;;;;;;;;;
Maria Emilia;345;1;;;;;;;;;;
Saturnino;115;1;;;;;;;;;;
Juana Antonia;302;1;;;;;;;;;;
Adolfo Antonio;694;1;;;;;;;;;;
Gabriel;373;1;;;;;;;;;;
Audelina;427;1;;;;;;;;;;
Maria Argentina;468;1;;;;;;;;;;
Dionisia;141;1;;;;;;;;;;
Apolonia Rosa;653;1;;;;;;;;;;
Justa;322;1;;;;;;;;;;
Maria Matilde;208;1;;;;;;;;;;
BrÃ­gida;328;1;;;;;;;;;;
MarÃ­a Azucena;463;1;;;;;;;;;;
Evangelina;113;1;;;;;;;;;;
